uuid,name,version,classifier,active,lastBomImport,ria_id,component_count,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10
a32141cc-884f-4bfc-b8a1-a8efb6aab195,AMS FCU,1.0,APPLICATION,True,,ria0392,0,low,pf,ria0392,fcu,,,,,,
3f7a6899-bdb5-490e-b8b4-a87fbba81162,ASBA -ipo-onnet-aub,1.0,APPLICATION,True,1767678657367,ria0144,100,au,pf,non-cis,ria0144,non-critical,,,,,
042d14a3-58d8-4e95-bf00-c8117b251b78,ASBA -ipo-service,1.0,APPLICATION,True,1767680045157,ria0144,100,au,pf,non-cis,ria0144,non-critical,,,,,
8292a627-7c8d-493c-980d-7d7cc17dca7f,ASBA-ipo-web,1.0,APPLICATION,True,1767678537825,ria0144,100,au,pf,non-cis,ria0144,non-critical,,,,,
f4c59772-765f-46e5-9876-a358b688e4dd,AU 0101,1.0,APPLICATION,True,1767679766031,ria0304,100,ria0304,au,critical,pf,cis,,,,,
73c2a65b-5413-479b-90ed-ccf2f13b2fc6,AU Bima - Nvest,1.0,APPLICATION,True,1767678906431,ria0197,39,au,critical,pf,ria0197,cis,,,,,
b2d69ee0-1e3b-4f91-adcd-122915642b37,AU Current Account DIY,1.0,APPLICATION,True,1767678351014,ria0257,100,au,pf,non-cis,ria0257,non-critical,,,,,
b339f1ad-8982-4681-96e4-6ae1154dbfb7,AU Website - AU Customer Service,1.0,APPLICATION,True,1767679172213,ria0006,84,au,critical,pf,cis,ria0006,,,,,
4f375a28-4423-49b4-add1-4ed58ce1d409,AU Website - track-customers-journey,1.0,APPLICATION,True,1767679537433,ria0006,79,au,critical,pf,cis,ria0006,,,,,
e3c3586d-a26d-4837-b91c-b31305900081,AU Website - value-added-service,1.0,APPLICATION,True,1767679635979,ria0006,87,au,critical,pf,cis,ria0006,,,,,
9d7dcc71-dda8-4539-947e-7087034ba48d,AU Website - verification-service,1.0,APPLICATION,True,1767679270909,ria0006,86,au,critical,pf,cis,ria0006,,,,,
c6529269-ef5e-4a2d-8134-65051143c97f,AU Website -detokenization-service,1.0,APPLICATION,True,1767679389285,ria0006,91,au,critical,pf,cis,ria0006,,,,,
3cdb8dac-99d0-491c-8714-3ae75f0504d9,AU Website-cc-payment-service,1.0,LIBRARY,False,1767679313498,ria0006,77,au,critical,pf,cis,ria0006,,,,,
72e3f6bb-fa34-4bd6-aeb4-a7fda5774ac3,AU-Website -loan-on-card-service,1.0,APPLICATION,True,1767679481129,ria0006,86,au,critical,pf,cis,ria0006,,,,,
ecfb4eec-44a9-4d26-8506-00eeef1d2b84,AU0101 Business,1.0,APPLICATION,True,1767680636867,ria0271,100,au,critical,pf,ria0271,cis,,,,,
ab471717-0c11-4f77-ad23-94062197f442,"AUBOT , AURO Chatbot, Whatsapp Banking",,APPLICATION,True,,ria0193,0,au,ria0193,pf,non-cis,ria0165,ria0167,non-critical,,,
76e055c5-dc47-4642-9449-afba9a1a23ff,BBPS Mindgate,1.3,LIBRARY,True,1768884390457,ria0143,56,au,critical,pf,ria0143,cis,,,,,
b5bb8239-aa28-4385-8a55-5ad701fffc1b,BBPS Mindgate,1.2,LIBRARY,True,1768283248125,ria0143,59,au,critical,pf,ria0143,cis,,,,,
150a29fe-0428-4a8f-9c17-bb04877dbc61,BBPS Mindgate,1.1,LIBRARY,True,1768283123136,ria0143,59,au,critical,pf,ria0143,cis,,,,,
dc43ebe8-5666-47d7-8b27-3eb8fd8bc490,CCBLITE - Hyperface,1.0,APPLICATION,True,1767679984567,ria0220,100,au,critical,pf,non-cis,ria0220,,,,,
e7053c4a-1e7a-4c00-830d-ca8c38e63115,CIB,1.0,APPLICATION,True,1767679019455,ria0003,100,au,critical,pf,ria0003,cis,,,,,
3d98300f-b14a-4da3-9fd5-2e440747e4ea,CIB-FCU,1.0,APPLICATION,True,1767678883879,ria0364,7,pf,ria0364,cis,fincare,non-critical,,,,,
0755c57f-8c2b-427a-814d-79b6b4413985,Card Surround System - AUCSS_PythonPackages,1.0,APPLICATION,True,1767678238558,ria0211,100,npf,au,non-cis,ria0211,non-critical,,,,,
6917fdb8-975a-48f8-87e1-5af2cc60534a,Card Surround System -AUCSS_PHPPackages,1.0,APPLICATION,True,1767678166995,ria0211,64,npf,au,non-cis,ria0211,non-critical,,,,,
88359f9d-dd0f-4c83-a6b9-5a177b7f6639,Cisco IVR,1.0,APPLICATION,True,,ria0347,0,npf,au,critical,non-cis,ria0347,,,,,
6ca965c0-84c6-4ccd-bccb-eb65d7b5b980,DEM,1.0,APPLICATION,True,1767680196420,ria0106,100,ria0106,npf,au,critical,cis,,,,,
9274e932-f491-4b96-97bd-2640b04d31d0,Digital Banking Unit - FCU,1.0,APPLICATION,True,,ria0395,0,low,pf,fcu,non-cis,ria0395,non-critical,,,,
0736dd60-ea20-4cbc-ada1-d428d659acb1,E-Mandate,1.0,APPLICATION,True,1767679889844,ria0138,100,au,pf,non-cis,non-critical,ria0138,,,,,
bb6ae8d3-d0a2-4610-a572-49dc8dc97365,ENCollect Collections,,APPLICATION,True,1769504974828,ria0189,11,au,pf,non-cis,ria0189,non-critical,,,,,
da75c624-b2c1-44e0-ad03-b37a84be2f0c,ERPNEXT,1.0,APPLICATION,True,1767677854139,ria0377,5,npf,non-cis,ria0377,fincare,non-critical,,,,,
51995c3b-b275-4587-a1af-cf7b6ab987c2,Elision IVR (121- UAT),1.0,APPLICATION,True,1770444774150,ria0135,100,npf,au,uat,non-cis,ria0135,non-critical,121,,,
31f7f001-add5-4193-b174-bc9e8a46a5a4,Elision IVR (125),1.0,APPLICATION,True,1770444906034,ria0135,100,npf,125,au,non-cis,ria0135,non-critical,,,,
fe5c2795-8376-4300-a324-54079895363c,Elision IVR (231),1.0,APPLICATION,True,1770445073428,ria0135,100,npf,au,non-cis,ria0135,non-critical,231,,,,
4fcc7741-5ba0-47f6-bc9f-0cf08387a6aa,Elision IVR (232),1.0,APPLICATION,True,1770445676633,ria0135,100,232,npf,au,non-cis,ria0135,non-critical,,,,
5288c5c5-4b7b-4d10-ba98-3bc8bcd7e9e5,Elision IVR (233),1.0,APPLICATION,True,1770445860300,ria0135,100,233,npf,au,non-cis,ria0135,non-critical,,,,
052c8c06-0222-4a9b-a186-8a316ad30947,Elision IVR (234),1.0,APPLICATION,True,1770446023323,ria0135,100,234,npf,au,non-cis,ria0135,non-critical,,,,
2a511825-5b11-4911-b6a7-c2c6db810e27,Elision IVR (235),1.0,APPLICATION,True,1770446105397,ria0135,100,npf,235,au,non-cis,ria0135,non-critical,,,,
e632209b-a461-4dd4-a09c-d07ce5fdfa4c,Elision IVR (236),1.0,APPLICATION,True,1770446167034,ria0135,100,npf,au,236,non-cis,ria0135,non-critical,,,,
3230b1b9-0a92-4d52-953a-b89f2d9aae62,Elision IVR (240),1.0,FILE,True,1770446533602,ria0135,100,npf,au,non-cis,ria0135,240,non-critical,,,,
